ratio_edge_cases.log created successfully
============================================

ADANIPORTS Mar 2017 | ROCE Difference=9.36% | Category: Formula Difference
ADANIPORTS Mar 2022 | ROE Difference=6.26% | Category: Version Difference
ADANIPORTS Mar 2023 | ROE Difference=6.22% | Category: Version Difference
ADANIPORTS Mar 2013 | ROE Difference=7.53% | Category: Version Difference
ADANIPORTS Mar 2013 | ROCE Difference=12.73% | Category: Formula Difference
ADANIPORTS Mar 2014 | ROCE Difference=6.96% | Category: Formula Difference
ADANIPORTS Mar 2015 | ROCE Difference=8.69% | Category: Formula Difference
ADANIPORTS Mar 2016 | ROCE Difference=8.25% | Category: Formula Difference
ADANIPORTS Mar 2017 | ROCE Difference=9.36% | Category: Formula Difference
ADANIPORTS Mar 2022 | ROE Difference=6.26% | Category: Version Difference
ADANIPORTS Mar 2023 | ROE Difference=6.22% | Category: Version Difference
ADANIPOWER Mar 2013 | ROE Difference=110.56% | Category: Version Difference
ADANIPOWER Mar 2013 | ROCE Difference=85.66% | Category: Formula Difference
ADANIPOWER Mar 2014 | ROE Difference=61.55% | Category: Version Difference
ADANIPOWER Mar 2014 | ROCE Difference=36.65% | Category: Formula Difference
ADANIPOWER Mar 2015 | ROE Difference=71.35% | Category: Version Difference
ADANIPOWER Mar 2015 | ROCE Difference=46.45% | Category: Formula Difference
ADANIPOWER Mar 2016 | ROE Difference=49.72% | Category: Version Difference
ADANIPOWER Mar 2016 | ROCE Difference=24.82% | Category: Formula Difference
ADANIPOWER Mar 2017 | ROE Difference=262.90% | Category: Version Difference
ADANIPOWER Mar 2017 | ROCE Difference=238.00% | Category: Formula Difference
ADANIPOWER Mar 2018 | ROE Difference=293.66% | Category: Version Difference
ADANIPOWER Mar 2018 | ROCE Difference=268.76% | Category: Formula Difference
ADANIPOWER Mar 2019 | ROE Difference=69.86% | Category: Version Difference
ADANIPOWER Mar 2019 | ROCE Difference=44.96% | Category: Formula Difference
ADANIPOWER Mar 2020 | ROE Difference=92.20% | Category: Version Difference
ADANIPOWER Mar 2020 | ROCE Difference=67.30% | Category: Formula Difference
ADANIPOWER Mar 2021 | ROE Difference=47.41% | Category: Version Difference
ADANIPOWER Mar 2021 | ROCE Difference=22.51% | Category: Formula Difference
ADANIPOWER Mar 2022 | ROE Difference=30.49% | Category: Version Difference
ADANIPOWER Mar 2022 | ROCE Difference=5.59% | Category: Formula Difference
ADANIPOWER Mar 2023 | ROE Difference=21.19% | Category: Version Difference
ADANIPOWER Mar 2024 | ROE Difference=8.82% | Category: Version Difference
ADANIPOWER Mar 2024 | ROCE Difference=16.08% | Category: Formula Difference
AMBUJACEM Dec 2012 | ROE Difference=5.45% | Category: Version Difference
AMBUJACEM Dec 2014 | ROE Difference=5.53% | Category: Version Difference
AMBUJACEM Dec 2016 | ROCE Difference=5.57% | Category: Formula Difference
AMBUJACEM Dec 2021 | ROE Difference=5.40% | Category: Version Difference
APOLLOHOSP Mar 2013 | ROCE Difference=6.17% | Category: Formula Difference
APOLLOHOSP Mar 2014 | ROCE Difference=6.62% | Category: Formula Difference
